title,heading,content,tokens
Regional Neighborhood Bank Case Study,Customer,"For more than a century, this highly-rated regional bank has been providing personalized banking services to communities in the western United States. The bank focuses on maintaining a neighborhood bank feel with high levels of customer service, even while growing organically and through numerous acquisitions to hundreds of locations and more than $10 billion in assets.
Their commitment to customer success has earned them high levels of satisfaction from their user-base and top ratings from Money Magazine, Forbes, J.D. Power and other experts in the financial services field.",105
Regional Neighborhood Bank Case Study,Challenge,"Maintain in-person, “neighborhood bank” feel online",17
Regional Neighborhood Bank Case Study,Challenge,Effectively handle steadily growing inquiry volume,7
Regional Neighborhood Bank Case Study,Challenge,Efficiently accommodate support spikes from new acquisitions,9
Regional Neighborhood Bank Case Study,Challenge,"Anytime, anywhere online banking is one way that the bank makes personal and business banking customers’ lives easier. However, with
the convenience it brings, comes the balancing act of keeping that neighborhood-style, face-to-face feel the bank was built upon.A mix of organic and acquisition-related growth combined with technology advances required handling increasing volumes of support interactions without compromising the high customer service levelsthat the bank’s customers are accustomed to. Each acquisitions brings an influx of new customers needing help on-boarding and moving from their old online banking to the bank’s portal.",122
Regional Neighborhood Bank Case Study,Solution,"Live Observation and CoBrowsing provides web and mobile banking customers personalized, “neighborly” online service",26
Regional Neighborhood Bank Case Study,Solution,Easy access to guided assistance helps new customers transition after acquisitions,11
Regional Neighborhood Bank Case Study,Solution,Simultaneous digital interaction handling enables the bank to efficiently service growing customer volume without additional headcount,19
Regional Neighborhood Bank Case Study,Solution,Customer context helps representatives decrease average handle times and improve customer satisfaction,12
Regional Neighborhood Bank Case Study,Results,Under 15 seconds of average wait time,7
Regional Neighborhood Bank Case Study,Results,24% lower average handle time (AHT),10
Regional Neighborhood Bank Case Study,Results,4.75 average CSAT,6
Regional Neighborhood Bank Case Study,Results,0 staff added for 3x volume increase,8
Regional Neighborhood Bank Case Study,Results,"Simultaneous digital engagements enabled the bank to efficiently service a 3.1x increase in online interaction volume, including acquisition-related support spikes, with the same staff. By handling 64% of chats simultaneously they reduced average customer wait times to less than 15 seconds (meeting 98% of the <20 sec. response time SLA).",68
Dover Credit Union Case Study,Customer,"43,000+ members
",6
Dover Credit Union Case Study,Customer,610MM assets under management,5
Dover Credit Union Case Study,Customer,8 branches,2
Dover Credit Union Case Study,Customer,Serves United States Military Veterans,6
Dover Credit Union Case Study,Customer,"Member service is a top priority at Dover Federal Credit Union, a Delaware institution first chartered in 1958 by Dover Air Force Base employees. “We believe that our members deserve better than good. They deserve ‘legendary’ [member service],” Dover Federal states as part of its core values. Serving a growing membership base, currently exceeding 43,000, Dover Federal has continuously sought technology solutions that could help deliver exceptional service. Building on its existing phone-based contact center, the credit union added online chat for remote customers several years ago and was exploring a video banking solution.",120
Dover Credit Union Case Study,Challenge,"Expand digital services, including video banking, for remote members",12
Dover Credit Union Case Study,Challenge,Improve the member service employee experience,6
Dover Credit Union Case Study,Challenge,Sustain membership growth with a digital service platform that meets future needs,13
Dover Credit Union Case Study,Results,21% reduction in average handle time (AHT),11
Dover Credit Union Case Study,Results,40% decrease in average wait time,7
Dover Credit Union Case Study,Results,13% increase in engagements with fewer staff,8
Dover Credit Union Case Study,Results,"Glia provides online collaboration features that help reps guide members, quickly find resources and even accelerate resolution times. Live Observation allows reps to see the same screen as members within the Dover Federal website to quickly understand how to best provide support. With member consent, CoBrowsing empowers reps to help members navigate the site, find online resources and even complete forms, such as a loan application.",79
Dover Credit Union Case Study,Results,Live Observation and CoBrowsing have changed the game for member service and have proven popular with the member support team. Reps at Dover Federal have become more efficient and employee satisfaction has gone up significantly,40
Dover Credit Union Case Study,Results,"Digital-first efficiencies have driven an ongoing decrease in both Average Handle Time, down by more than 1 minute and continuing to decrease monthly, as well as a 40% reduction in the Average Wait Time. Dover Federal is able to handle a growing volume of digital member engagements without adding staff.",50
Dover Credit Union Case Study,Quote,"We are really seeing the benefits of Glia’s seamless digital-first platform. It’s helped us improve our employee experience, manage member support and most importantly, deliver the ‘legendary’ member service that we always strive for
– Tyler Kuhn, VP of Marketing and Digital Experience for Dover Federal Credit Union.",70
Top US Bank Case Study,Customer,over 100B in assets under management,7
Top US Bank Case Study,Challenge,the company’s objectives were to enhance the online customer experience and boost online loan conversions by guiding customers through the online processes. ,27
Top US Bank Case Study,Results,250% ROI,4
Top US Bank Case Study,Results,4.9 CSAT score,6
Top US Bank Case Study,Results,"Moreover, with a CSAT score of 4.9/5.0 customers provided overwhelmingly positive feedback (compared to the banking online self-serve average of 3.7/5.0). Since then, the bank has expanded use of Glia into multiple lines of business and is seeing positive results across the board.",66
Top US Bank Case Study,Solution ,"The bank believed that a single System ofEngagement, which included CoBrowsing, live observation, chat, voice,and video functionality, would quickly equip their online customer service agents with the right customer context and communication tools to achieve the desired KPIs for the Web Concierge team.",59
PSECU Case Study,Customer,Located in Pennysylvania,7
PSECU Case Study,Customer,7B assets under management,5
PSECU Case Study,Customer,"450,000 members",4
PSECU Case Study,Customer,"PSECU is the largest credit union in Pennsylvania, with more than 450K members and $7 billion in assets. With a digital-first delivery model, the credit union is committed to providing the best member experience.",44
PSECU Case Study,Challenge,Increase contact center efficiency with the same staff,8
PSECU Case Study,Challenge,Empower members to self-serve for routine questions,12
PSECU Case Study,Challenge,Ensure members can immediately transfer to a live agent if needed,12
PSECU Case Study,Challenge,"PSECU members embraced chat out of the box, and interaction volumes steadily grew. It was imperative to maintain service excellence with the same staff despite rising chat demand. PSECU realized that offering online self-service options could enhance member experience while enabling existing contact center staff to handle more complex calls efficiently.
AI (Artificial Intelligence) held promise to provide virtual assistance to members and agents alike. But with member experience as the top priority, any solution had to be simple and allow visitors who needed or wanted to interact with a live representative (MSR) to do so effortlessly.",117
PSECU Case Study,Solution,Deployed AI Management in Online Banking Transaction Services group for digital member support,14
PSECU Case Study,Solution,"Virtual assistant, Walter, has his own personality, sense of humor and seasonal attire to connect with members",20
PSECU Case Study,Solution,"Walter assists members with routing/account numbers, external transfer questions, and other routine transactions
",19
PSECU Case Study,Solution,Analyzed chat logs and heavily involved agents to prioritize questions and responses to train Walter,16
PSECU Case Study,Solution,"Started an hour/day and fine-tuned responses weekly, expanding to 12 hours/day and a goal of 24/7",27
PSECU Case Study,Solution,"Servicing growing member interaction volume without human assistance, saves MSRs 5-6 min per self-serve chat",23
PSECU Case Study,Solution,Enabled PSECU to service rapid chat volume growth without adding headcount or compromising member service standards,19
PSECU Case Study,Solution,"PSECU turned to its trusted partner, Glia, to capitalize on the platform’s AI Management capabilities. The AI engine-agnostic module provided PSECU’s team just what they needed to orchestrate conversational bots, using Google Dialogflow, for operator assistants and a member-facing virtual assistant affectionately called Walter.
",72
PSECU Case Study,Results,25% of chat engagement start with a bot,9
PSECU Case Study,Results,35% Containment rate,5
PSECU Case Study,Results,5-6 mins saved per interaction,7
PSECU Case Study,Results,"Since debuting in late 2019, Walter has steadily grown in volume and accuracy, handling nearly 75% of chats successfully — roughly half without  human assistance. Walter’s success is due  to PSECU’s diligent planning before launching  the bot and ongoing optimization efforts.",58
PSECU Case Study,Results,"Walter could handle questions on routing/account numbers, check reorders, external account transfers, and more,  hours daily with a goal of 24/7 after OLB platform updates. Choice cards reduce the need for member typing. Most importantly, if Walter is stumped or a member requests, he seamlessly transfers to a live agent along with the full call context.",74
PSECU Case Study,Quote,"Our top priority with Walter is to ensure members can quickly access a live agent if needed. Glia lets us do that.”  
– Brad Heiser, PSECU",38
